李本文,NONE
汪海,高级经济师
柴永森,高级工程师
单群英,高级工程师
王永忠,高级经济师
李连平,高级工程师
李连平,国务院特殊津贴
李连平,省劳动模范
米大斌,高级工程师
徐兵,NONE
陈来泉,高级工程师
陈来泉,高级经济师
赵铁流,NONE
魏兴毅,NONE
朱胜利,NONE
张合斌,高级经济师
陈军,NONE
张秉军,高级工程师
刘逸荣,NONE
星晓明,高级经济师
杨景文,NONE
赵华,NONE
连良桂,NONE
汪力成,全国劳动模范
汪力成,市劳动模范
汪诚,NONE
刘小斌,注册会计师
刘浩军,NONE
金美星,NONE
赵晴,NONE
唐军,高级工程师
曹湘洪,高级工程师
王永健,高级工程师
李方,NONE
郑宽,NONE
马中秋,高级经济师
蔡建新,高级经济师
蔡建新,市劳动模范
夏富喜,高级经济师
谢平伟,NONE
云文广,高级经济师
王小兰,高级经济师
王小兰,市劳动模范
濮黎明,NONE
寿浩良,NONE
马雅,NONE
赵伟,NONE
马雅,NONE
邱士杰,NONE
金保庆,高级政工师
乔桂玲,高级工程师
蒋英刚,高级工程师
周传良,高级工程师
刘承进,高级经济师
李珊瑚,高级政工师
黎愿斌,高级工程师
林魁,NONE
王凤岐,NONE
蒋岚,NONE
朱俊峰,NONE
陈闽建,NONE
田汉,NONE
汤闯,NONE
李强,NONE
宫晓冬,NONE
张丽萍,NONE
朱卫军,NONE
赵权,NONE
马广悦,高级会计师
卢祥福,高级会计师
姜小兴,高级经济师
杨元建,高级工程师
吴根柱,高级工程师
郭景彬,高级工程师
李顺安,高级工程师
纪勤应,高级工程师
任勇,高级工程师
齐生立,高级经济师
刘晓卫,NONE
杜焰生,NONE
李红旗,NONE
傅军,高级经济师
丁伟,NONE
郑慧卿,高级会计师
刘煌,NONE
覃虹,高级经济师
殷明坤,高级会计师
殷明坤,注册会计师
陈少波,NONE
苏文,NONE
刘炬,NONE
李秀林,NONE
尹家绪,高级工程师
徐留平,高级工程师
李炳源,NONE
秦兆平,NONE
向汉林,NONE
刘益谦,NONE
肖云华,高级工程师
刘益谦,NONE
曾绍清,高级经济师
周强,NONE
方兆,NONE
平兴,NONE
陈明乾,高级工程师
洪及鄙,高级工程师
洪及鄙,政府特殊津贴
樊政炜,NONE
张大德,NONE
杨振超,高级经济师
孟永范,高级经济师
韦江宏,高级工程师
杨军,高级经济师
刘铁杲,高级经济师
管大源,高级经济师
兰隽,NONE
高旭斌,高级工程师
孔清华,NONE
吴岩,NONE
赵景云,NONE
石进儒,高级经济师
张玉秋,高级经济师
邹学仁,高级经济师
秦江玉,高级工程师
秦江玉,高级经济师
田继生,高级工程师
秦江玉,高级工程师
秦江玉,高级经济师
宗维海,NONE
梁力平,高级工程师
梁力平,国务院政府特殊津贴
梁力平,政府特殊津贴
洪海雄,NONE
钟金松,NONE
李泽中,NONE
何德先,NONE
郭劲松,高级工程师
刘华,NONE
王晓江,NONE
董荣生,NONE
张晖,NONE
张澎,NONE
杜红云,高级工程师
王勇,NONE
王棣,省劳动模范
王棣,市劳动模范
张棠华,高级工程师
张棠华,国务院特殊津贴
余小华,政府特殊津贴
肖正连,高级经济师
梅强,NONE
苏结宏,NONE
朱江洪,全国劳动模范
董明珠,全国劳动模范
张军,NONE
张秉军,高级工程师
胡军,高级经济师
苏同强,高级经济师
张相军,高级工程师
刘圣刚,高级工程师
刘远清,高级工程师
陈凯,NONE
屈波,NONE
吴坚,NONE
邓惠明,NONE
黄红云,高级工程师
黄红云,高级工程师
邓志雄,高级工程师
杨伯华,NONE
焦健,NONE
杨伯华,NONE
李福利,NONE
黄乐夫,全国劳动模范
宋建明,高级工程师
杨占民,NONE
陈鸿兴,高级工程师
梁国坚,NONE
吴景贤,高级工程师
刘文彦,高级工程师
刘文彦,政府特殊津贴
刘文彦,市劳动模范
赵邵安,高级经济师
徐亦平,高级工程师
吕值友,政府特殊津贴
王祺扬,高级会计师
尹守恩,高级工程师
陆云良,NONE
刘海涛,高级工程师
叶茂新,高级工程师
温一雷,高级经济师
温一雷,市劳动模范
刘道明,NONE
吕品,高级工程师
陈火军,NONE
吴瑞林,NONE
李建新,NONE
陈义和,高级经济师
刘道兴,NONE
苗泽春,NONE
姜晓峰,NONE
艾有关,高级经济师
陈炎表,NONE
史浩樑,NONE
陈志成,NONE
林腾蛟,NONE
林腾蛟,NONE
胡智勇,NONE
李再生,高级经济师
张永宏,NONE
陈亮,NONE
潘亚敏,NONE
俞锋,NONE
李成业,高级经济师
麻向阳,高级工程师
葛晋生,高级经济师
郑建成,NONE
王建辉,NONE
刘刚,NONE
王春芳,NONE
李荣福,高级经济师
王春芳,NONE
冯井岗,NONE
刘双河,NONE
赵立仁,NONE
逄奉建,NONE
袁明哲,NONE
张志鸿,NONE
丁明国,高级工程师
季长彬,高级会计师
张德炳,高级经济师
周霁,高级工程师
高少兵,高级政工师
高少兵,高级经济师
刘春堂,NONE
宋传远,高级经济师
田益群,NONE
董平,高级工程师
周庆庭,高级政工师
董平,高级工程师
张秀文,高级工程师
张秀文,高级工程师
李晓卫,NONE
宋军,NONE
梁贤久,高级经济师
丁振华,NONE
戴连荣,高级工程师
戴连荣,政府特殊津贴
贺占海,高级工程师
陈杰,NONE
高少初,NONE
郑钟强,NONE
谭庆中,NONE
陈爱学,NONE
冷述铁,高级工程师
陈青松,高级经济师
李树,NONE
矫正中,注册会计师
杨树财,高级会计师
杨树财,注册会计师
杨树财,省劳动模范
李福春,高级工程师
王春雨,高级工程师
王东兴,高级经济师
吕向阳,NONE
薛同建,高级工程师
谭启,NONE
张良宾,NONE
赵晓轮,NONE
张良宾,NONE
郝江波,NONE
史建华,NONE
刘建民,NONE
赵威,高级工程师
叶华能,NONE
宁远喜,NONE
冯宝忠,NONE
张燕瑾,NONE
祁程,NONE
陈勇,高级工程师
安双荣,NONE
梁德根,NONE
龚成辉,NONE
安双荣,NONE
卢树春,高级经济师
孙杰,高级工程师
李久旭,高级工程师
陈健,NONE
夏清海,NONE
王涛,NONE
刘冠林,高级工程师
熊必琪,高级会计师
熊必琪,注册会计师
张继光,高级工程师
冯兆一,高级工程师
卢兴泉,高级政工师
陈德强,高级工程师
肖占鹏,NONE
池维怀,NONE
郑毅,NONE
张政,NONE
马文忠,高级经济师
梁会山,高级经济师
何献俊,NONE
王大壮,高级工程师
陶炜,NONE
曹克波,NONE
周昆山,高级经济师
杜少华,高级经济师
吴明夏,国务院特殊津贴
徐仲康,NONE
夏壮华,高级政工师
乔向明,高级工程师
郭迎辉,NONE
邱建林,高级经济师
邱建林,省劳动模范
方贤水,高级经济师
宋逸婷,高级经济师
吴党生,高级政工师
刘晓,NONE
张忠华,NONE
张道红,NONE
李元海,NONE
朱宪国,NONE
蔡星海,高级经济师
钱刚,高级工程师
俞亚鹏,高级工程师
俞亚鹏,国务院特殊津贴
俞亚鹏,市劳动模范
王天义,NONE
王义芳,高级工程师
王义芳,国务院政府特殊津贴
王义芳,政府特殊津贴
王义芳,省劳动模范
于勇,高级工程师
于勇,国务院政府特殊津贴
于勇,政府特殊津贴
于勇,全国劳动模范
黄培荣,高级经济师
文武,NONE
张国明,NONE
张雄,高级经济师
许环曜,NONE
肖志辉,高级工程师
戚桓,NONE
杨志茂,NONE
庞莉萍,NONE
吴大香,高级经济师
陈茂新,NONE
杨林,NONE
张旭,NONE
刘芝旭,高级经济师
刘芝旭,全国劳动模范
赵明,高级工程师
韦清文,高级经济师
曾德新,高级工程师
余子权,高级工程师
王三武,高级工程师
傅建国,NONE
曲丹时,高级工程师
张孝中,NONE
张桂平,省劳动模范
张希望,高级工程师
谢国胜,NONE
秦海员,NONE
刘少宇,NONE
王爱,NONE
赵启昌,NONE
林铭山,高级工程师
路寿山,高级工程师
李惠波,高级工程师
张奇,NONE
王文宗,高级工程师
吴永钢,高级经济师
刘龙宇,高级经济师
刘龙宇,国务院特殊津贴
刘龙宇,全国劳动模范
刘龙宇,省劳动模范
刘龙宇,市劳动模范
李大有,高级政工师
李大有,高级经济师
胡昌民,高级会计师
胡昌民,市劳动模范
罗丽娜,高级经济师
邱中伟,NONE
邓军民,高级工程师
杨国平,NONE
柯子亮,高级政工师
柯子亮,市劳动模范
王纪年,政府特殊津贴
尚衍国,高级会计师
姚锦龙,NONE
王东升,NONE
刘石祯,NONE
刘子斌,NONE
赵竟成,高级工程师
赖伟德,高级会计师
孙绍刚,高级工程师
吕常钦,高级工程师
凤良志,高级经济师
蔡咏,高级经济师
李福成,高级经济师
李福成,全国劳动模范
陈平,高级经济师
张晓彬,高级经济师
季年谊,NONE
刘永和,高级经济师
刘金城,高级工程师
黄其森,NONE
陈清洁,高级工程师
陈清洁,省劳动模范
申自强,高级经济师
陈中,NONE
靳宏荣,NONE
吴伟雄,NONE
邓传明,高级经济师
胡电铃,NONE
徐自力,高级工程师
富庶,NONE
杨克勤,高级经济师
顾玫,高级经济师
史强军,NONE
陆伟强,高级工程师
沈东进,高级工程师
吴文德,高级工程师
王梦飞,高级经济师
王跃宣,高级会计师
万建军,高级工程师
胡文强,高级工程师
李堂锁,NONE
蔡三定,高级政工师
颜冬,高级工程师
彭建武,NONE
李宗顺,NONE
马福安,NONE
庞为,NONE
张姿,NONE
谭京信,高级经济师
徐文财,NONE
杨德泉,高级工程师
陈肇雄,NONE
杨军,高级工程师
聂玉春,NONE
何明,NONE
何明,NONE
刘及响,NONE
蒋文胜,高级工程师
张雅锋,NONE
何春梅,NONE
侯宝泉,NONE
高良宾,NONE
许健,高级工程师
王明辉,NONE
王健,NONE
闫清江,NONE
朱煜煊,高级工程师
庄道火,NONE
庄文海,高级工程师
仝立祥,高级工程师
仝立祥,政府特殊津贴
卢辉生,高级经济师
王玉柱,NONE
贺端湜,高级经济师
郭琴,NONE
张代铭,高级经济师
穆昕,NONE
刘汝泉,高级工程师
李凯,NONE
姜阳,高级经济师
颜广彤,NONE
张健,高级工程师
罗涛,高级经济师
张克利,高级工程师
张克利,国务院政府特殊津贴
张克利,政府特殊津贴
汪爱群,高级政工师
汪爱群,高级经济师
汪爱群,全国劳动模范
刘聪,高级经营师
张锦松,高级经济师
郭桂华,高级经济师
管琪,NONE
陈旭晖,NONE
胡和建,NONE
张敏学,NONE
吉朋松,NONE
杨富年,NONE
刘晓疆,NONE
张营富,高级工程师
李墨华,高级工程师
于天忱,NONE
张晓芳,NONE
汪澍,NONE
赵忠民,高级经济师
肖永恩,NONE
曾泰,NONE
戴扬,NONE
张守斌,高级经济师
闫永明,NONE
刘立成,NONE
李建国,NONE
王光华,高级工程师
孟振平,高级会计师
王清文,NONE
贾斌,高级经济师
张锋,高级经济师
文生元,高级工程师
杨忠,高级经济师
高大成,高级经济师
孟祥凯,NONE
王向阳,高级工程师
唐军,高级工程师
方玉峰,NONE
刘选民,NONE
朴东洙,高级工程师
姜长龙,NONE
郭仁堂,高级政工师
李利平,高级经济师
王志伟,NONE
应刚,NONE
孙树明,NONE
邵渭敏,高级工程师
邵渭敏,全国劳动模范
孙勤,NONE
邱建刚,高级工程师
李晓明,高级工程师
李晓明,国务院政府特殊津贴
李晓明,政府特殊津贴
范英俊,高级工程师
范英俊,全国劳动模范
刘明忠,高级工程师
郭士进,高级工程师
罗钟杰,高级经济师
陈敏仪,NONE
江玉森,全国劳动模范
阮英,NONE
张振武,高级经济师
黄学文,NONE
孙国建,NONE
孙金国,高级经济师
张志,高级工程师
张志,国务院特殊津贴
陈柏森,NONE
梁广义,NONE
梁伟东,NONE
梁柏松,NONE
奚奎华,高级工程师
毕建国,高级工程师
胡运钊,高级经济师
杨泽柱,NONE
严规方,高级经济师
郝健,NONE
宋志平,高级工程师
宋志平,政府特殊津贴
宋志平,全国劳动模范
曹江林,NONE
王兵,NONE
张纯勇,NONE
戴泽宇,NONE
李国军,NONE
赵永凯,NONE
杨石根,高级经济师
魏新安,高级工程师
刘明寿,高级经济师
江尚文,高级工程师
彭旭东,NONE
赵卫青,NONE
周蕴瑾,NONE
王仁果,NONE
杨德茂,高级经济师
杨建忠,高级经济师
康海军,NONE
李宁平,高级经济师
安平绥,高级政工师
安平绥,高级经济师
郑长山,高级经济师
安平绥,高级政工师
安平绥,高级经济师
王兴富,高级工程师
王兴富,国务院特殊津贴
朱德华,NONE
温子健,NONE
汪方怀,NONE
程明远,高级经济师
杜建奎,高级工程师
许晓华,高级政工师
许晓华,高级经济师
许晓华,国务院特殊津贴
高建平,高级政工师
高建平,高级经济师
刘志强,NONE
田力维,NONE
何家福,NONE
张岭,NONE
张岭,NONE
郑建国,高级经济师
黄建民,高级政工师
黄建民,高级经济师
